Species,effect,group,term,estimate,std.error,statistic,df,p.value,padj
s__Roseburia_SGB4949,fixed,NA,(Intercept),-6.561902848,0.044593117,-147.1505749,252,2.35E-246,4.39E-243
s__Weissella_cibaria,fixed,NA,(Intercept),-5.827120103,0.054850834,-106.2357617,252,2.84E-211,2.66E-208
s__Streptococcus_infantis,fixed,NA,(Intercept),-5.571749947,0.034945676,-159.4403239,161.8259732,7.55E-180,4.71E-177
s__Enterococcus_casseliflavus,fixed,NA,(Intercept),-5.021895478,0.034389143,-146.0314206,167.7903784,9.53E-179,4.46E-176
s__GGB9444_SGB14834,fixed,NA,(Intercept),-5.164478519,0.033746326,-153.0382432,163.3318841,2.72E-178,1.02E-175
s__Leuconostoc_lactis,fixed,NA,(Intercept),-5.874719791,0.041770544,-140.6426454,169.3338718,2.67E-177,8.34E-175
s__Lactococcus_petauri,fixed,NA,(Intercept),-5.460502734,0.042275906,-129.1634715,173.8691037,1.21E-174,3.24E-172
s__Bilophila_SGB69261,fixed,NA,(Intercept),-4.464421106,0.019019924,-234.7233942,131.0651634,6.96E-174,1.63E-171
s__Streptococcus_oralis,fixed,NA,(Intercept),-5.345015171,0.037351511,-143.1003715,161.8663721,2.45E-172,5.11E-170
s__Streptococcus_gordonii,fixed,NA,(Intercept),-5.509925208,0.044995814,-122.4541743,173.2232907,3.60E-170,6.74E-168
s__Bradyrhizobium_viridifuturi,fixed,NA,(Intercept),-5.272562384,0.075979422,-69.39460997,252,3.04E-166,5.18E-164
s__GGB3570_SGB4777,fixed,NA,(Intercept),-5.389795682,0.039835837,-135.300173,157.9118418,3.39E-165,5.26E-163
s__GGB9290_SGB14247,fixed,NA,(Intercept),-5.93930229,0.050804402,-116.9052702,171.1139373,3.66E-165,5.26E-163
s__TM7_phylum_sp_oral_taxon_352,fixed,NA,(Intercept),-5.109816432,0.035415411,-144.2822833,150.4463935,3.33E-163,4.45E-161
s__Candidatus_Stoquefichus_sp_SB1,fixed,NA,(Intercept),-5.503899761,0.036429082,-151.0853287,146.7016635,6.75E-163,8.43E-161
s__Clostridium_saudiense,fixed,NA,(Intercept),-5.399385021,0.040612891,-132.9475654,155.1553495,9.28E-162,1.09E-159
s__GGB33469_SGB15237,fixed,NA,(Intercept),-5.838631954,0.041941019,-139.2105426,151.1727464,1.71E-161,1.88E-159
s__Dysgonomonas_mossii,fixed,NA,(Intercept),-5.387977628,0.06092671,-88.43375324,194.2919996,6.75E-159,7.02E-157
s__Solibaculum_mannosilyticum,fixed,NA,(Intercept),-5.348346131,0.033769169,-158.3795581,137.2126185,3.04E-157,3.00E-155
s__Blautia_marasmi,fixed,NA,(Intercept),-5.425414685,0.048855422,-111.0504099,161.3768511,2.47E-154,2.31E-152
s__GGB9640_SGB15115,fixed,NA,(Intercept),-4.99272544,0.034113913,-146.354521,137.9950061,2.95E-153,2.63E-151
s__GGB28262_SGB40814,fixed,NA,(Intercept),-6.762645674,0.035976342,-187.9748009,121.0317088,3.81E-151,3.24E-149
s__Klebsiella_quasivariicola,fixed,NA,(Intercept),-5.254446992,0.038959285,-134.8702116,140.5144072,1.60E-150,1.30E-148
s__Drancourtella_sp_An57,fixed,NA,(Intercept),-4.745164881,0.039902695,-118.918407,148.5981247,3.02E-149,2.36E-147
s__Prevotella_buccalis,fixed,NA,(Intercept),-5.576510557,0.041511715,-134.3358278,138.3189284,1.98E-148,1.48E-146
s__Prevotella_disiens,fixed,NA,(Intercept),-5.46924631,0.054433543,-100.4756634,161.369052,2.05E-147,1.47E-145
s__Eggerthella_guodeyinii,fixed,NA,(Intercept),-5.446066308,0.060421591,-90.13444135,171.8191627,1.36E-146,9.43E-145
s__GGB3033_SGB4029,fixed,NA,(Intercept),-4.746844567,0.038554507,-123.1203537,141.9278535,3.83E-146,2.56E-144
s__Streptococcus_australis,fixed,NA,(Intercept),-5.208082695,0.052018878,-100.1190899,158.894861,1.83E-145,1.18E-143
s__GGB4774_SGB6609,fixed,NA,(Intercept),-5.276080978,0.052900716,-99.73553076,158.1206511,1.14E-144,7.11E-143
s__GGB3818_SGB5183,fixed,NA,(Intercept),-4.58045896,0.045560198,-100.5364144,157.0997837,1.68E-144,1.01E-142
s__GGB2998_SGB3989,fixed,NA,(Intercept),-5.172733124,0.046120575,-112.1567348,146.1769406,1.11E-143,6.49E-142
s__Streptococcus_gallolyticus,fixed,NA,(Intercept),-4.169893892,0.040158086,-103.8369682,151.0461238,2.34E-142,1.33E-140
s__Clostridiaceae_bacterium_NSJ_31,fixed,NA,(Intercept),-5.562964401,0.04379659,-127.0182087,134.8965792,2.85E-142,1.57E-140
s__Acidaminococcus_fermentans,fixed,NA,(Intercept),-3.73743609,0.029923868,-124.898161,136.035466,3.16E-142,1.69E-140
s__GGB3626_SGB4905,fixed,NA,(Intercept),-5.6164991,0.04757393,-118.0583381,140.1817755,3.30E-142,1.72E-140
s__Enterocloster_lavalensis,fixed,NA,(Intercept),-5.277162146,0.030768979,-171.5091741,116.6722841,4.65E-142,2.35E-140
s__Enterobacter_cloacae,fixed,NA,(Intercept),-5.763080372,0.077819802,-74.05673369,187.3233871,1.12E-140,5.50E-139
s__GGB3061_SGB4063,fixed,NA,(Intercept),-5.591166894,0.03143103,-177.8868507,113.2099792,2.03E-140,9.76E-139
s__Bacteroides_cutis,fixed,NA,(Intercept),-5.536872056,0.056533995,-97.9388081,152.0363815,2.91E-139,1.36E-137
s__Collinsella_SGB14987,fixed,NA,(Intercept),-5.022383328,0.032224984,-155.8537094,118.6358325,4.39E-139,2.01E-137
s__GGB3189_SGB4212,fixed,NA,(Intercept),-4.890682581,0.045003252,-108.6739821,142.5128159,5.72E-139,2.55E-137
s__Anaerofilum_sp_BX8,fixed,NA,(Intercept),-6.35944763,0.053795077,-118.2161642,134.954585,3.79E-138,1.65E-136
s__Lachnoclostridium_phocaeense,fixed,NA,(Intercept),-4.645174486,0.0420213,-110.543331,139.4601079,1.07E-137,4.55E-136
s__Kluyvera_genomosp_3,fixed,NA,(Intercept),-5.643902273,0.069997473,-80.63008653,168.6068615,1.38E-136,5.75E-135
s__Faecalitalea_cylindroides,fixed,NA,(Intercept),-4.49796231,0.031624952,-142.2282718,120.904097,1.94E-136,7.89E-135
s__GGB9774_SGB15394,fixed,NA,(Intercept),-5.40518815,0.049882842,-108.3576618,137.8105853,2.93E-135,1.17E-133
s__GGB36599_SGB9269,fixed,NA,(Intercept),-4.804100608,0.053194726,-90.31159563,152.0961503,4.88E-134,1.90E-132
s__GGB6020_SGB14985,fixed,NA,(Intercept),-5.694199475,0.064472113,-88.32034788,153.5046686,1.67E-133,6.39E-132
s__GGB9646_SGB15123,fixed,NA,(Intercept),-5.458673717,0.046403895,-117.6339552,129.4407034,1.85E-133,6.94E-132
s__Rothia_mucilaginosa,fixed,NA,(Intercept),-6.197901691,0.064192936,-96.55114848,144.000565,8.76E-133,3.22E-131
s__GGB32387_SGB47381,fixed,NA,(Intercept),-4.825818762,0.041559145,-116.1192975,128.33803,7.42E-132,2.67E-130
s__Clostridium_SGB6179,fixed,NA,(Intercept),-5.089815746,0.05508731,-92.39543111,146.3496934,1.15E-131,4.07E-130
s__Enterobacter_kobei,fixed,NA,(Intercept),-5.748276723,0.051109027,-112.4708691,130.0302605,2.02E-131,7.00E-130
s__Candidatus_Alloruminococcus_vanvlietii,fixed,NA,(Intercept),-6.445901103,0.065229443,-98.81888885,138.6620562,2.01E-130,6.86E-129
s__Clostridium_SGB4751,fixed,NA,(Intercept),-5.723333625,0.047036712,-121.6780123,123.1700664,3.50E-130,1.17E-128
s__Bacteroides_gallinarum,fixed,NA,(Intercept),-6.281458817,0.046019532,-136.4954967,115.437588,1.90E-129,6.25E-128
s__Streptococcus_anginosus,fixed,NA,(Intercept),-5.309394144,0.048475944,-109.5263691,129.1652172,2.86E-129,9.22E-128
s__GGB3538_SGB4728,fixed,NA,(Intercept),-5.353558754,0.042611805,-125.6355767,119.4901499,9.02E-129,2.86E-127
s__Actinomyces_sp_ICM47,fixed,NA,(Intercept),-6.360258967,0.06053708,-105.0638542,131.3278343,1.36E-128,4.24E-127
s__Lachnoclostridium_sp_An131,fixed,NA,(Intercept),-6.272111525,0.058091182,-107.9701134,129.0534143,2.17E-128,6.65E-127
s__Morganella_morganii,fixed,NA,(Intercept),-5.469889871,0.058586929,-93.36365524,140.2040308,4.08E-128,1.23E-126
s__Clostridioides_difficile,fixed,NA,(Intercept),-4.743824299,0.051017207,-92.9847911,140.4599356,4.77E-128,1.42E-126
s__GGB9691_SGB15198,fixed,NA,(Intercept),-4.734911364,0.04622262,-102.437104,132.4894303,5.02E-128,1.47E-126
s__Gemella_sanguinis,fixed,NA,(Intercept),-6.403875649,0.074440888,-86.02632042,147.3765294,7.22E-128,2.05E-126
s__Phocaeicola_sartorii,fixed,NA,(Intercept),-6.461875956,0.051924797,-124.4468212,119.0021763,7.20E-128,2.05E-126
s__Senegalimassilia_faecalis,fixed,NA,(Intercept),-5.643296406,0.057570116,-98.02475371,135.4312263,1.23E-127,3.42E-126
s__Citrobacter_freundii,fixed,NA,(Intercept),-4.907684756,0.068261717,-71.89512619,165.7672075,6.95E-127,1.89E-125
s__Prevotella_timonensis,fixed,NA,(Intercept),-5.556635734,0.058371169,-95.19486738,136.7775682,6.93E-127,1.89E-125
s__Alistipes_SGB2300,fixed,NA,(Intercept),-5.010589844,0.050550065,-99.12133361,132.7822587,2.28E-126,6.09E-125
s__GGB9537_SGB14940,fixed,NA,(Intercept),-5.965474843,0.062696328,-95.14871155,135.9342655,2.89E-126,7.63E-125
s__Intestinimonas_timonensis,fixed,NA,(Intercept),-5.306944644,0.053232214,-99.69423136,132.1178859,3.26E-126,8.47E-125
s__Formosa_SGB1638,fixed,NA,(Intercept),-4.931112807,0.042178402,-116.9108502,120.5675189,6.03E-126,1.55E-124
s__GGB9767_SGB15385,fixed,NA,(Intercept),-4.715489235,0.03478046,-135.578691,111.7430446,8.14E-126,2.06E-124
s__GGB2983_SGB3965,fixed,NA,(Intercept),-5.077339441,0.04465039,-113.7132147,121.9697205,1.24E-125,3.10E-124
s__GGB52106_SGB72838,fixed,NA,(Intercept),-5.457083957,0.047845393,-114.0566229,120.8725596,6.57E-125,1.62E-123
s__GGB34900_SGB14891,fixed,NA,(Intercept),-5.719873169,0.052382512,-109.1943284,123.3389651,1.41E-124,3.43E-123
s__Emergencia_timonensis,fixed,NA,(Intercept),-4.366899861,0.037284117,-117.1249362,118.4652698,2.55E-124,6.11E-123
