"CARD","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"CARD_004","fixed",NA,"(Intercept)",-4.62182996742017,0.0286788592744338,-161.158082446479,133.239649356957,1.383787701428e-154,3.59784802371281e-153
"CARD_004","fixed",NA,"st131_detectyes",-0.0635805232114042,0.0725429339303354,-0.876453704953014,245.928919777269,0.381638730287971,0.543704492465055
"CARD_006","fixed",NA,"(Intercept)",-4.0081906168711,0.0950629859150059,-42.1635253541767,129.230048371354,2.12023713620049e-77,5.37816249182562e-77
"CARD_006","fixed",NA,"st131_detectyes",-0.20535952706038,0.162378021416098,-1.2647002671263,204.041990097684,0.207421389493669,0.330180987357269
"CARD_013","fixed",NA,"(Intercept)",-3.56775894998322,0.0327493321703704,-108.941426085357,128.66901363109,1.36687793793208e-128,1.70586366653923e-127
"CARD_013","fixed",NA,"st131_detectyes",-0.116254465399297,0.0698216868261374,-1.66501943284157,241.896781833049,0.0972034986054906,0.169427327178285
"CARD_014","fixed",NA,"(Intercept)",-5.06664408003908,0.102688106397154,-49.3401257244287,128.322279883432,2.64415679718091e-85,8.00948466718877e-85
"CARD_014","fixed",NA,"st131_detectyes",0.359397126988948,0.167078142233971,2.15107208030635,196.848935011423,0.0326891329770215,0.0596433303440392
"CARD_015","fixed",NA,"(Intercept)",-3.74708017348619,0.0501721722543744,-74.6844317301708,110.959286708989,1.04868976587764e-96,4.54432231880309e-96
"CARD_015","fixed",NA,"st131_detectyes",-0.0722214412604672,0.0871835751050972,-0.828383570797669,194.530873540238,0.408468485792953,0.571489540660992
"CARD_016","fixed",NA,"(Intercept)",-1.66608424071366,0.0578615313023252,-28.7943337000261,124.848640053812,5.66170912484527e-57,1.1935494911836e-56
"CARD_016","fixed",NA,"st131_detectyes",-0.2049862788563,0.110308629717942,-1.85829775404199,219.821270240663,0.0644636244751698,0.114276425205983
"CARD_038","fixed",NA,"(Intercept)",-3.46901379698169,0.096921995230285,-35.7918116392401,120.36485867263,5.26481041574226e-66,1.15677524627576e-65
"CARD_038","fixed",NA,"st131_detectyes",-0.10498888811598,0.120682509035842,-0.869959441138225,165.181775644396,0.385585006544777,0.544355303357333
"CARD_057","fixed",NA,"(Intercept)",-1.97090629403275,0.104703390136232,-18.8237104020067,124.675150719578,3.00095222496943e-38,6.07985126097702e-38
"CARD_057","fixed",NA,"st131_detectyes",-0.0225831915605233,0.141786347924665,-0.159276206003432,175.120221177177,0.873634813674359,0.936680624970446
"CARD_082","fixed",NA,"(Intercept)",-3.60210141833957,0.0517788812255415,-69.5669997706077,111.765774206643,7.50505599979699e-94,3.0020223999188e-93
"CARD_082","fixed",NA,"st131_detectyes",-0.186065295949638,0.10867892214146,-1.71206423732698,235.208187072351,0.0882028639867067,0.154602772830632
"CARD_085","fixed",NA,"(Intercept)",-3.60786644436249,0.105547087015034,-34.1825297731676,123.454205361084,8.55490696735949e-65,1.8665251565148e-64
"CARD_085","fixed",NA,"st131_detectyes",-0.17563830991079,0.162148217403374,-1.08319605804767,186.30480371551,0.280121294494204,0.428420803344077
"CARD_086","fixed",NA,"(Intercept)",-4.17131589297318,0.0328182715377823,-127.103460892842,123.185581630371,1.64352315412915e-132,2.56389612044147e-131
"CARD_086","fixed",NA,"st131_detectyes",-0.017995725610512,0.0749937496972533,-0.239963006025969,251.209445103767,0.810554627275428,0.896783842943027
"CARD_098","fixed",NA,"(Intercept)",-3.61948915079592,0.0898548447212635,-40.2815136125809,130.380141412153,1.94423055627895e-75,4.77551188089854e-75
"CARD_098","fixed",NA,"st131_detectyes",0.245701323895258,0.181401841187706,1.35445882074051,232.558162632271,0.176904532324028,0.284506258170602
"CARD_103","fixed",NA,"(Intercept)",-5.21006888119527,0.0311952000075687,-167.015081805251,252.999999998728,6.9727837315652e-261,7.25169508082781e-259
"CARD_103","fixed",NA,"st131_detectyes",0.0938147036870403,0.0830245660424965,1.12996319232817,252.999999997743,0.259561866004293,0.400907436600691
"CARD_105","fixed",NA,"(Intercept)",-3.43664540836978,0.0705461527608806,-48.7148522474139,119.306795642094,1.35850185744891e-80,3.62267161986375e-80
"CARD_105","fixed",NA,"st131_detectyes",-0.133645351815866,0.0946568145605645,-1.41189361205849,169.708952657387,0.159812209302704,0.262428470012861
"CARD_122","fixed",NA,"(Intercept)",-3.07749475254717,0.0707990954171507,-43.4679953806537,130.676217447528,1.43937258506789e-79,3.80579869950154e-79
"CARD_122","fixed",NA,"st131_detectyes",0.00416078708090293,0.152425340737417,0.0272972135786182,243.815951384369,0.978245008526661,0.984556266646187
"CARD_123","fixed",NA,"(Intercept)",-3.23296811134888,0.0515416983527525,-62.7252926207897,132.739893724272,1.59017203859252e-100,8.00215606517524e-100
"CARD_123","fixed",NA,"st131_detectyes",0.107081199832629,0.112053157346289,0.955628581724877,245.571223934186,0.340199692806305,0.49368513560729
"CARD_124","fixed",NA,"(Intercept)",-2.79577058395004,0.0303149567032749,-92.2241325071073,126.715450590301,5.01466251679156e-118,4.34604084788602e-117
"CARD_124","fixed",NA,"st131_detectyes",0.111380844588784,0.0703717974258928,1.58274832621799,252.443308543345,0.114730826822222,0.197768055074769
"CARD_125","fixed",NA,"(Intercept)",-3.02761156180473,0.0549655264736832,-55.0820078700477,130.468237858251,3.28221317813672e-92,1.26425989083785e-91
"CARD_125","fixed",NA,"st131_detectyes",0.047030853902696,0.10876076111572,0.432424832450887,228.94234482467,0.665839705741511,0.792908351875387
