"PWY","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"PWY_001","fixed",NA,"(Intercept)",-6.88209468621884,0.032670901759091,-210.649058203722,103.000000000796,1.50518781203518e-137,4.67611680272264e-135
"PWY_001","fixed",NA,"carrierper",0.0559037934635926,0.0713747221882759,0.783243587500443,103.000000001217,0.435281343555166,0.548801449773922
"PWY_003","fixed",NA,"(Intercept)",-3.35438086192237,0.0180235375865192,-186.111125289372,34.1262497239013,6.69242170304405e-53,1.38607489494157e-51
"PWY_003","fixed",NA,"carrierper",0.0225421637205328,0.038002966752117,0.593168524646225,35.8984070807413,0.556787286375262,0.648329650114005
"PWY_004","fixed",NA,"(Intercept)",-6.13520637792883,0.113411388624448,-54.0969161240501,34.985155671283,2.57189168473643e-35,8.29588463105335e-35
"PWY_004","fixed",NA,"carrierper",0.140298991981815,0.241184407922832,0.581708383183312,38.026618703173,0.56419592400715,0.653292890045708
"PWY_005","fixed",NA,"(Intercept)",-6.61545673275099,0.104356264807253,-63.3930003624583,25.6565488858874,1.00544225045263e-29,2.12970949414057e-29
"PWY_005","fixed",NA,"carrierper",1.00377661209829,0.222769037465718,4.50590721007517,28.719807904583,0.000101777724577602,0.00020311957024909
"PWY_007","fixed",NA,"(Intercept)",-6.12242707795612,0.129268617697165,-47.3620526545662,35.7696870483209,7.19894645153138e-34,2.07721922378552e-33
"PWY_007","fixed",NA,"carrierper",-0.116712287493243,0.27240485865171,-0.428451563128941,37.496773738527,0.670773651915738,0.740408274258028
"PWY_008","fixed",NA,"(Intercept)",-3.69789530910098,0.0342930220241253,-107.832296217566,37.7708607420065,1.23358691259101e-48,1.29180112644361e-47
"PWY_008","fixed",NA,"carrierper",0.067546560154603,0.0721869467583774,0.935717095511649,39.3814384364096,0.355121650897422,0.483879208532745
"PWY_009","fixed",NA,"(Intercept)",-3.31322109289798,0.0133134259492825,-248.863148037154,38.8852498174496,6.93666563608071e-64,6.46497237282723e-62
"PWY_009","fixed",NA,"carrierper",0.012112640855268,0.0287443234062041,0.421392449705519,44.5327056091831,0.675495617532693,0.744163020733416
"PWY_010","fixed",NA,"(Intercept)",-4.21832541004665,0.0730361370835358,-57.7566883804642,35.9892175266092,4.39752882538491e-37,1.67285586337091e-36
"PWY_010","fixed",NA,"carrierper",0.112215252889507,0.153636560406176,0.730394201698076,37.4711286326315,0.469691517808658,0.573236520614504
"PWY_011","fixed",NA,"(Intercept)",-6.12339122993752,0.136587509869164,-44.8312677769956,36.9616627201023,7.95770457496808e-34,2.28202481965238e-33
"PWY_011","fixed",NA,"carrierper",0.413139549549778,0.288980230355388,1.42964641228813,39.2962834421318,0.160721206492543,0.265588944062146
"PWY_012","fixed",NA,"(Intercept)",-3.74543563316263,0.0747859585220626,-50.0820703134759,37.178097045765,9.93832131311823e-36,3.33184009490151e-35
"PWY_012","fixed",NA,"carrierper",0.161259871834519,0.156500607074713,1.03041051947827,37.9397653248528,0.309341694907475,0.439491554350254
"PWY_013","fixed",NA,"(Intercept)",-3.53412148374249,0.0284933029597058,-124.033408437776,38.1112745670795,2.6862925466309e-51,3.85173023609231e-50
"PWY_013","fixed",NA,"carrierper",0.0251188328389634,0.0607408370229489,0.413541104635636,41.6376224547497,0.681332491928962,0.748822974620039
"PWY_014","fixed",NA,"(Intercept)",-3.55734390731767,0.0318383505646667,-111.731413349833,38.1658578422429,1.24800038045421e-49,1.44074170097933e-48
"PWY_014","fixed",NA,"carrierper",-0.00430151246240846,0.0678884717249412,-0.0633614567114809,41.7332586626762,0.949781193175006,0.961124942496315
"PWY_015","fixed",NA,"(Intercept)",-3.31080630615699,0.0157508565725585,-210.198492437875,31.2304674800626,8.86975396877838e-51,1.2156780439561e-49
"PWY_015","fixed",NA,"carrierper",0.0356113271846748,0.0334721436738371,1.06390936689573,34.0059739453808,0.294866429653366,0.423517922115765
"PWY_016","fixed",NA,"(Intercept)",-3.50869313099521,0.02627493952821,-133.53762916288,35.5603610177594,1.25214675728891e-49,1.44074170097933e-48
"PWY_016","fixed",NA,"carrierper",0.043704792072591,0.05542619787206,0.788522282792598,37.4308704337658,0.435357112133713,0.548801449773922
"PWY_017","fixed",NA,"(Intercept)",-5.57845525064238,0.158620978820654,-35.1684581202195,35.9847828825657,1.83217593987605e-29,3.854600397211e-29
"PWY_017","fixed",NA,"carrierper",0.276373365629256,0.33374694770892,0.828092563921505,37.4991139783552,0.41285753647303,0.535909782719866
"PWY_018","fixed",NA,"(Intercept)",-4.06834673467766,0.0607890312209736,-66.9256715062434,34.8596559078924,2.05808010481046e-38,8.8503033184424e-38
"PWY_018","fixed",NA,"carrierper",0.328814436821401,0.128637231350507,2.55613739015772,37.1642708546531,0.0148037137490298,0.0283307211788415
"PWY_019","fixed",NA,"(Intercept)",-3.28790686890883,0.0183704597396238,-178.977930629415,35.1565595167695,1.23923532203568e-53,3.29990662896357e-52
"PWY_019","fixed",NA,"carrierper",0.0487237835776463,0.0389769427039658,1.25006683945708,37.8577867446178,0.218947527328034,0.340666269565488
"PWY_020","fixed",NA,"(Intercept)",-3.37491643234223,0.0151845813986559,-222.259431704911,22.0399995096674,1.9987449338789e-38,8.6643268761634e-38
"PWY_020","fixed",NA,"carrierper",-0.0112101571468893,0.0325420830875732,-0.344481854979042,25.2935436857571,0.733331739838595,0.793803927444333
"PWY_021","fixed",NA,"(Intercept)",-6.54811037593832,0.151218137504996,-43.30241387692,35.5036483021645,2.51775596499349e-32,6.39386528439764e-32
"PWY_021","fixed",NA,"carrierper",0.686760370003607,0.319182416581098,2.15162344266892,37.4589508349984,0.0379405391411856,0.0708628907406514
"PWY_022","fixed",NA,"(Intercept)",-6.19131632251079,0.0966740510416225,-64.0432076219207,38.6421141559109,7.70204135860321e-41,4.03275423944842e-40
"PWY_022","fixed",NA,"carrierper",0.142057338154577,0.204976297661602,0.693042755553627,41.3438127854286,0.492157779154059,0.589577185310518
"PWY_023","fixed",NA,"(Intercept)",-4.77544513978266,0.0811004987920654,-58.883055109519,35.9214484528292,2.49820529585426e-37,9.7013638989007e-37
"PWY_023","fixed",NA,"carrierper",-0.21619169633547,0.171885093512504,-1.25776873327147,38.4855599688962,0.216053832239394,0.338423817894312
"PWY_024","fixed",NA,"(Intercept)",-6.75234778074151,0.0355152982398357,-190.125047948147,23.6028365051134,4.15696497563759e-39,1.87163833685712e-38
"PWY_024","fixed",NA,"carrierper",0.00880120535734807,0.0771408109466999,0.114092725359463,28.8280319435735,0.90995520191729,0.930931117658523
