"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Acidaminococcus_fermentans","fixed",NA,"(Intercept)",-3.73743609012674,0.0299238680605159,-124.898160978668,136.035465979333,3.16150544896427e-142,1.69095377156032e-140
"s__Acidaminococcus_fermentans","fixed",NA,"hd_exposurelow_exposure",-0.0304578344057833,0.0458804483011257,-0.663852153446286,130.954731438282,0.507952017902957,0.694144728974174
"s__Acidaminococcus_fermentans","fixed",NA,"hd_exposurehigh_exposure",0.0651890190682359,0.0455735462303633,1.43041357235448,128.287610261213,0.155029518020573,0.315794622126782
"s__Acidaminococcus_intestini","fixed",NA,"(Intercept)",-4.41273093661105,0.225486914310652,-19.5697872317844,118.920735700931,5.45804942151492e-39,1.74956652689656e-38
"s__Acidaminococcus_intestini","fixed",NA,"hd_exposurelow_exposure",-0.31809807795443,0.347374444447897,-0.915721012407813,116.242072133501,0.361709020248771,0.554284513576593
"s__Acidaminococcus_intestini","fixed",NA,"hd_exposurehigh_exposure",-0.491982474479036,0.346017086719492,-1.42184445035188,114.568857734616,0.157788009790194,0.320020752250533
"s__Acidaminococcus_massiliensis","fixed",NA,"(Intercept)",-5.35971612392555,0.0867681800843113,-61.7705260006329,121.284618759938,1.63783183886177e-93,1.03932922113534e-92
"s__Acidaminococcus_massiliensis","fixed",NA,"hd_exposurelow_exposure",0.127889210255364,0.133574684469925,0.95743598993235,118.243740599414,0.340300741484476,0.533781565979343
"s__Acidaminococcus_massiliensis","fixed",NA,"hd_exposurehigh_exposure",-0.200950965096896,0.132992421206074,-1.5109956136938,116.393491548452,0.133499776427145,0.279543156008518
"s__Acidaminococcus_SGB5735","fixed",NA,"(Intercept)",-6.02962391011651,0.0598118221470472,-100.809901682859,125.936886022108,2.78765199488166e-122,5.79831614935386e-121
"s__Acidaminococcus_SGB5735","fixed",NA,"hd_exposurelow_exposure",-0.00827179299480612,0.0912367570297271,-0.0906629440162036,118.131691077118,0.927913964573357,0.967531927960953
"s__Acidaminococcus_SGB5735","fixed",NA,"hd_exposurehigh_exposure",-0.133643708291195,0.0903981358991624,-1.47839009025885,114.817238322574,0.142041523546831,0.293814068596318
"s__Actinomyces_sp_ICM47","fixed",NA,"(Intercept)",-6.36025896718805,0.060537080176973,-105.063854229417,131.327834281756,1.36050767935119e-128,4.24478395957572e-127
"s__Actinomyces_sp_ICM47","fixed",NA,"hd_exposurelow_exposure",-0.0981992540554822,0.0907359937190761,-1.08225247810161,113.266142606213,0.281439036190807,0.472938847171625
"s__Actinomyces_sp_ICM47","fixed",NA,"hd_exposurehigh_exposure",9.54346339409638e-05,0.0894105267756907,0.00106737581560599,110.059339246109,0.999150289764941,0.9998769049187
"s__Adlercreutzia_equolifaciens","fixed",NA,"(Intercept)",-5.64557092030677,0.0875228300889356,-64.5039804422466,124.357598344826,1.87555138424675e-97,1.42147052279754e-96
"s__Adlercreutzia_equolifaciens","fixed",NA,"hd_exposurelow_exposure",0.0304987056859192,0.132186912067134,0.230724095214735,110.985205818244,0.817953928208651,0.913064850093378
"s__Adlercreutzia_equolifaciens","fixed",NA,"hd_exposurehigh_exposure",0.0216441952295869,0.13049646985629,0.165860388816822,107.382686592027,0.868578694867946,0.935613140944237
"s__Agathobaculum_butyriciproducens","fixed",NA,"(Intercept)",-4.28743004118864,0.179066156535391,-23.9432739504925,121.790683867116,6.87341084687522e-48,2.27734957616822e-47
"s__Agathobaculum_butyriciproducens","fixed",NA,"hd_exposurelow_exposure",0.473693692594833,0.27431218425037,1.72684160526564,116.256547085249,0.086852201008536,0.198952459094766
"s__Agathobaculum_butyriciproducens","fixed",NA,"hd_exposurehigh_exposure",0.168198037199934,0.272351147817148,0.617577853253107,113.469032143144,0.538091089732377,0.725400269915119
"s__Akkermansia_muciniphila","fixed",NA,"(Intercept)",-4.49978284260642,0.183118463179587,-24.5730701561939,133.635025031375,2.06065251591687e-51,7.01371183599341e-51
"s__Akkermansia_muciniphila","fixed",NA,"hd_exposurelow_exposure",-0.0884106191680963,0.276152506547787,-0.320151427460599,119.314858505373,0.749413510995139,0.872507984296878
"s__Akkermansia_muciniphila","fixed",NA,"hd_exposurehigh_exposure",-0.0424651219835039,0.272506046392723,-0.155831852341013,115.704612356936,0.876437113076727,0.937084689608242
"s__Alistipes_communis","fixed",NA,"(Intercept)",-4.08866977885389,0.165534959145755,-24.6997359346541,117.578725146049,2.32237459494276e-48,7.7219986531667e-48
"s__Alistipes_communis","fixed",NA,"hd_exposurelow_exposure",0.0423874676804839,0.255729850186364,0.165750958089538,116.260400879885,0.868640832778357,0.935613140944237
"s__Alistipes_communis","fixed",NA,"hd_exposurehigh_exposure",-0.122992517742912,0.255207150946372,-0.481932098245776,115.347799008987,0.630767342424714,0.794614041062628
"s__Alistipes_dispar","fixed",NA,"(Intercept)",-4.19356898488572,0.155340768396684,-26.9959330584542,119.392148926041,1.15662053571335e-52,4.00961785713963e-52
"s__Alistipes_dispar","fixed",NA,"hd_exposurelow_exposure",-0.073366265935224,0.239558018726817,-0.306256773724983,117.218286364165,0.75995244369658,0.874495109357469
"s__Alistipes_dispar","fixed",NA,"hd_exposurehigh_exposure",-0.309593344565266,0.238781886635977,-1.29655288735214,115.807151003154,0.197362668524269,0.372818279997409
"s__Alistipes_finegoldii","fixed",NA,"(Intercept)",-4.75992056637845,0.24403496338448,-19.5050762413873,117.923707260134,1.03616077956038e-38,3.29879758390652e-38
"s__Alistipes_finegoldii","fixed",NA,"hd_exposurelow_exposure",-0.451802424616368,0.37526805732854,-1.20394586161333,114.350645605983,0.231096769586406,0.416775676941958
"s__Alistipes_finegoldii","fixed",NA,"hd_exposurehigh_exposure",-0.512758446039911,0.373383360197706,-1.37327610359606,112.266787005683,0.172402970905608,0.341161058705389
"s__Alistipes_ihumii","fixed",NA,"(Intercept)",-4.2688397620496,0.119940314492067,-35.5913670906037,120.390800295539,9.5752272680496e-66,3.82192440208718e-65
"s__Alistipes_ihumii","fixed",NA,"hd_exposurelow_exposure",-0.130925523185066,0.183781674164094,-0.712397053626612,114.98966820196,0.477661951936905,0.663340633550361
"s__Alistipes_ihumii","fixed",NA,"hd_exposurehigh_exposure",-0.382588439444084,0.182491108853163,-2.09647714811095,112.244849082172,0.0382865660362011,0.0983161201917263
"s__Alistipes_indistinctus","fixed",NA,"(Intercept)",-4.7998636888909,0.16148280966693,-29.7236820364407,120.51388955639,2.56536589255371e-57,9.37961904464949e-57
