"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Acidaminococcus_fermentans","fixed",NA,"(Intercept)",-3.76789392453221,0.0390725262334423,-96.4333327725111,73.4775350460898,4.05109358054748e-79,1.1235032863385e-77
"s__Acidaminococcus_fermentans","fixed",NA,"hd_exposurehigh_exposure",0.0935723825880995,0.055050388471226,1.69975880618914,72.5259812044144,0.0934616362663722,0.173571610208977
"s__Acidaminococcus_intestini","fixed",NA,"(Intercept)",-4.7285709911721,0.257655098485107,-18.352328438187,67.927057778545,4.97610089534061e-28,1.07815519399047e-27
"s__Acidaminococcus_intestini","fixed",NA,"hd_exposurehigh_exposure",-0.173671957888792,0.363368983202561,-0.477949318508504,67.2192243051952,0.63423696153205,0.792074362186418
"s__Acidaminococcus_massiliensis","fixed",NA,"(Intercept)",-5.23482929778649,0.103016042425897,-50.8156707878977,69.7129100888547,7.98706410044806e-57,3.70552267559821e-56
"s__Acidaminococcus_massiliensis","fixed",NA,"hd_exposurehigh_exposure",-0.325837791235983,0.145394694577625,-2.24105695316152,69.1870071260361,0.0282341983636697,0.0554902040281257
"s__Acidaminococcus_SGB5735","fixed",NA,"(Intercept)",-6.03790729391156,0.067177070217209,-89.8804796694573,68.1107042506672,1.68502153861284e-72,2.38966690930548e-71
"s__Acidaminococcus_SGB5735","fixed",NA,"hd_exposurehigh_exposure",-0.124904841314365,0.0944189645775777,-1.32287874446811,66.694887497023,0.190393596585666,0.326389022718284
"s__Actinomyces_sp_ICM47","fixed",NA,"(Intercept)",-6.45727775601086,0.0644262819661035,-100.227384833541,73.2836300595035,3.56054228795131e-80,1.23432132648979e-78
"s__Actinomyces_sp_ICM47","fixed",NA,"hd_exposurehigh_exposure",0.0963155121575774,0.0900993182981439,1.06899268470449,71.2895930901347,0.288679290609783,0.460117183500651
"s__Adlercreutzia_equolifaciens","fixed",NA,"(Intercept)",-5.61575557812585,0.0961887086465624,-58.3826902049438,70.2235866813582,2.94451290285368e-61,1.73337363337801e-60
"s__Adlercreutzia_equolifaciens","fixed",NA,"hd_exposurehigh_exposure",-0.00914415081660543,0.134417467248793,-0.0680279951985743,68.2661217494553,0.945962210072583,0.976477120074924
"s__Agathobaculum_butyriciproducens","fixed",NA,"(Intercept)",-3.81487979054578,0.195726375854255,-19.4908824827293,69.9359048884726,5.58894883348955e-30,1.23451471578672e-29
"s__Agathobaculum_butyriciproducens","fixed",NA,"hd_exposurehigh_exposure",-0.304833666071831,0.274994658153901,-1.10850759108648,68.4419332860132,0.271522854616037,0.439507811362923
"s__Akkermansia_muciniphila","fixed",NA,"(Intercept)",-4.58293155719775,0.200096538588173,-22.9036023788002,68.6948650977916,7.03648149018804e-34,1.65689224523673e-33
"s__Akkermansia_muciniphila","fixed",NA,"hd_exposurehigh_exposure",0.0400017786192601,0.279332409298157,0.143204931786353,66.8415309377104,0.886559174182807,0.940038954443622
"s__Alistipes_communis","fixed",NA,"(Intercept)",-4.04402459535699,0.191427530941709,-21.1256164432713,68.1704337194697,1.24430611733572e-31,2.79297488207731e-31
"s__Alistipes_communis","fixed",NA,"hd_exposurehigh_exposure",-0.167225050717098,0.270345658484359,-0.618560148717066,67.8055198460022,0.538278635407429,0.720634320183483
"s__Alistipes_dispar","fixed",NA,"(Intercept)",-4.271201799881,0.181414748920356,-23.5438509013185,68.3078801917582,1.69141992038751e-34,4.0672294039376e-34
"s__Alistipes_dispar","fixed",NA,"hd_exposurehigh_exposure",-0.22765085110438,0.256228703753043,-0.88846740341704,67.9664525175045,0.377423002281678,0.564776866723662
"s__Alistipes_finegoldii","fixed",NA,"(Intercept)",-5.21439418459212,0.265170401597514,-19.6643145433204,67.3511359413267,1.29257020639545e-29,2.8450222532302e-29
"s__Alistipes_finegoldii","fixed",NA,"hd_exposurehigh_exposure",-0.0615930671277984,0.373097363665455,-0.165085774186888,66.1387975812221,0.869380017333377,0.932110797658126
"s__Alistipes_ihumii","fixed",NA,"(Intercept)",-4.39597065072482,0.131307259449785,-33.4785043046758,67.4125357148575,9.88456918138291e-44,2.92320908492082e-43
"s__Alistipes_ihumii","fixed",NA,"hd_exposurehigh_exposure",-0.252913927737546,0.18480520216205,-1.36854333524536,66.2589869185847,0.175764519431884,0.306360503143842
"s__Alistipes_indistinctus","fixed",NA,"(Intercept)",-4.71045168751742,0.178208686424343,-26.4322227049083,68.3617185367355,1.29672297312118e-37,3.2959475976685e-37
"s__Alistipes_indistinctus","fixed",NA,"hd_exposurehigh_exposure",-0.362739505076598,0.250949536038975,-1.44546792475544,67.3141025428871,0.152966181899896,0.27039914307517
"s__Alistipes_onderdonkii","fixed",NA,"(Intercept)",-4.31115174507054,0.267756777921538,-16.1009994911645,69.7656513786067,3.41085414667258e-25,7.17832373532442e-25
"s__Alistipes_onderdonkii","fixed",NA,"hd_exposurehigh_exposure",0.0628265962251692,0.376166276891083,0.167018151505804,68.2589650550599,0.867849564818355,0.931749239413605
"s__Alistipes_provencensis","fixed",NA,"(Intercept)",-5.44646608490781,0.10226454294728,-53.258597045856,68.927275659836,9.75386848737853e-58,4.69993354140865e-57
"s__Alistipes_provencensis","fixed",NA,"hd_exposurehigh_exposure",0.284039667778017,0.144152974601361,1.9704044856757,68.1025162753071,0.0528591278444234,0.10133362757272
"s__Alistipes_putredinis","fixed",NA,"(Intercept)",-3.83736130338217,0.324608261549091,-11.8215146006129,70.292776245946,2.25989130237831e-18,4.59339469929664e-18
"s__Alistipes_putredinis","fixed",NA,"hd_exposurehigh_exposure",-0.0330763065415789,0.456797355137746,-0.0724091463524452,69.0942015236549,0.942485505913223,0.974992155005496
"s__Alistipes_senegalensis","fixed",NA,"(Intercept)",-5.2918565034898,0.177863515328998,-29.7523440583154,64.3024710501986,2.61478863535029e-39,6.8990617693809e-39
"s__Alistipes_senegalensis","fixed",NA,"hd_exposurehigh_exposure",-0.242545584999804,0.250409375249053,-0.96859626265419,63.2336965667655,0.336436931933066,0.515181952211615
"s__Alistipes_SGB2300","fixed",NA,"(Intercept)",-4.90784895221194,0.0661002604529058,-74.248556943412,69.4498861838676,6.70275412456507e-68,6.28950161462948e-67
"s__Alistipes_SGB2300","fixed",NA,"hd_exposurehigh_exposure",-0.0663815522278992,0.0932595786790121,-0.711793396111902,68.8374852774006,0.47899809576329,0.667921367053168
"s__Alistipes_SGB2302","fixed",NA,"(Intercept)",-6.13972197906467,0.0931383246128119,-65.9204683419881,70.4173667741078,4.98778665946301e-65,3.70521294702967e-64
"s__Alistipes_SGB2302","fixed",NA,"hd_exposurehigh_exposure",0.152290175914079,0.131386896202769,1.15909714222224,69.764891670374,0.25036858361641,0.410591317152799
