"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Acidaminococcus_fermentans","fixed",NA,"(Intercept)",-3.76789392453253,7.25150050048475e-17,-51960196710744928,1.44890929044516e-18,1,1
"s__Acidaminococcus_fermentans","fixed",NA,"carrierper",-7.4337722089099e-16,1.52874315753473e-16,-4.86266916209634,1.44891056728812e-18,1,1
"s__Acidaminococcus_intestini","fixed",NA,"(Intercept)",-5.02346270081198,0.266704202358052,-18.835333888245,36.1514244644371,2.81942235731306e-20,6.30580484216254e-20
"s__Acidaminococcus_intestini","fixed",NA,"carrierper",0.304685245158682,0.556801534336754,0.547206188146759,36.5697987139245,0.587561210694472,0.702067978219281
"s__Acidaminococcus_massiliensis","fixed",NA,"(Intercept)",-5.43682573277143,0.082381609390018,-65.9956241815081,37.8755806785611,1.03731672365347e-40,8.9900782716634e-40
"s__Acidaminococcus_massiliensis","fixed",NA,"carrierper",-0.123841356251046,0.172151534189159,-0.719374107435896,38.4392233747254,0.476261516802229,0.608366809589746
"s__Acidaminococcus_SGB5735","fixed",NA,"(Intercept)",-6.12645790886325,0.0432440717881731,-141.671624699754,31.6320875322434,6.52331933716516e-46,1.14663415954678e-44
"s__Acidaminococcus_SGB5735","fixed",NA,"carrierper",-0.0696247814905395,0.0911912317919315,-0.763503026797581,33.352638665525,0.450530816445669,0.587641595671456
"s__Actinomyces_sp_ICM47","fixed",NA,"(Intercept)",-6.39651879876916,0.0781609123142093,-81.8378216090283,38.6554048307122,6.15914110594476e-45,9.48963962990008e-44
"s__Actinomyces_sp_ICM47","fixed",NA,"carrierper",-0.0356403502695209,0.164177033265085,-0.217084872108604,39.9698648682798,0.829246520894367,0.892154877651871
"s__Adlercreutzia_equolifaciens","fixed",NA,"(Intercept)",-5.65546898537106,0.0909451725890032,-62.1854775176368,33.0236127100545,8.4033019061489e-36,4.17821544975053e-35
"s__Adlercreutzia_equolifaciens","fixed",NA,"carrierper",0.0745624556167631,0.192775479072621,0.386783920732338,35.5092758093383,0.701224476320652,0.794848452723137
"s__Agathobaculum_butyriciproducens","fixed",NA,"(Intercept)",-4.06487905069734,0.218024396566948,-18.6441476949537,36.3400374663926,3.42929346575476e-20,7.64242543796776e-20
"s__Agathobaculum_butyriciproducens","fixed",NA,"carrierper",-0.439121134235882,0.457301506645891,-0.960244232424786,37.4189736777002,0.343096406913567,0.511399056045876
"s__Akkermansia_muciniphila","fixed",NA,"(Intercept)",-4.18282390179698,0.21958779792183,-19.048526108386,34.928350172226,4.96464926733517e-20,1.10051195126719e-19
"s__Akkermansia_muciniphila","fixed",NA,"carrierper",-0.588316568604231,0.465796412539164,-1.26303370478356,37.5877623216985,0.214356009793701,0.372067176943726
"s__Alistipes_communis","fixed",NA,"(Intercept)",-4.32957554572345,0.196745652530898,-22.0059528128252,37.0106210304111,7.45119907047128e-23,1.77802991203598e-22
"s__Alistipes_communis","fixed",NA,"carrierper",0.454813927710083,0.409886264026341,1.10961007388346,37.1283894407497,0.274302446082864,0.441715422853438
"s__Alistipes_dispar","fixed",NA,"(Intercept)",-4.2999418863463,0.211059783819926,-20.3730990742176,37.001512029849,1.05312517593817e-21,2.4165400707416e-21
"s__Alistipes_dispar","fixed",NA,"carrierper",-0.0882312770171206,0.439922025647871,-0.200561171919462,37.1906637754254,0.842134502265786,0.902561611434029
"s__Alistipes_finegoldii","fixed",NA,"(Intercept)",-5.4265208710336,0.287074741125639,-18.9028155168088,35.8725310610032,3.09263727010743e-20,6.90449251000728e-20
"s__Alistipes_finegoldii","fixed",NA,"carrierper",0.394618234970204,0.600595745468269,0.657044672640048,36.5872086429621,0.515264327909682,0.637946310745321
"s__Alistipes_ihumii","fixed",NA,"(Intercept)",-4.58848547288632,0.131911179103723,-34.7846596783002,36.4216699245389,1.52607678081215e-29,4.80945409710495e-29
"s__Alistipes_ihumii","fixed",NA,"carrierper",-0.123376058732538,0.275383660025724,-0.448015175341244,36.8368410803266,0.656766202979299,0.754042521911835
