"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Acidaminococcus_fermentans","fixed",NA,"(Intercept)",-3.72527023763392,0.0194401023524945,-191.628118519443,138.814586029483,3.79316757286312e-170,1.69066897533327e-168
"s__Acidaminococcus_fermentans","fixed",NA,"st131_detectyes",-0.0114130318324268,0.028197909235725,-0.404747449075665,192.161733452559,0.686113339396667,0.810951116726957
"s__Acidaminococcus_intestini","fixed",NA,"(Intercept)",-4.67875833200759,0.14556883620117,-32.1412086137843,121.928458909484,2.24892728033789e-61,4.86423092870309e-61
"s__Acidaminococcus_intestini","fixed",NA,"st131_detectyes",0.198407915912978,0.162571548148068,1.22043443747162,160.394017007899,0.224091454890903,0.367015926120534
"s__Acidaminococcus_massiliensis","fixed",NA,"(Intercept)",-5.37459113160165,0.0566660411193484,-94.8467728719894,124.42661093583,6.64750763427858e-118,2.99497816880132e-117
"s__Acidaminococcus_massiliensis","fixed",NA,"st131_detectyes",-0.0603646531916296,0.0663051240875807,-0.910407061630645,165.119974167841,0.363934952281636,0.528128860985443
"s__Acidaminococcus_SGB5735","fixed",NA,"(Intercept)",-6.08131457574238,0.0388234630332926,-156.640188705666,127.406562198405,1.47525264354095e-147,2.45482039885214e-146
"s__Acidaminococcus_SGB5735","fixed",NA,"st131_detectyes",0.0632454719417244,0.0653325806547018,0.968054090439068,200.756859484727,0.334182134677233,0.492977900800457
"s__Actinomyces_sp_ICM47","fixed",NA,"(Intercept)",-6.38542019069127,0.0387246156143572,-164.89305547358,125.540643888962,1.31657411791514e-148,2.56731952993452e-147
"s__Actinomyces_sp_ICM47","fixed",NA,"st131_detectyes",-0.0348194642261456,0.0839939102365813,-0.414547484788735,244.323965244579,0.678836934953662,0.80853393434593
"s__Adlercreutzia_equolifaciens","fixed",NA,"(Intercept)",-5.65128567003047,0.0557908454253809,-101.294139333109,122.969762362479,2.54306328376928e-120,1.27973507183228e-119
"s__Adlercreutzia_equolifaciens","fixed",NA,"st131_detectyes",0.164857143346468,0.112223025573797,1.46901353357345,229.516193890521,0.143198404028498,0.250962615521879
"s__Agathobaculum_butyriciproducens","fixed",NA,"(Intercept)",-4.11993032772453,0.116351404431443,-35.4093734223217,122.42880888782,3.56465766266812e-66,7.83220556867925e-66
"s__Agathobaculum_butyriciproducens","fixed",NA,"st131_detectyes",0.189831902870551,0.17312192632272,1.09652143378235,181.972228911479,0.27429962752098,0.429518111852175
"s__Akkermansia_muciniphila","fixed",NA,"(Intercept)",-4.5375514195583,0.116916412531405,-38.8102176701621,131.097260609228,9.62240153010046e-74,2.19538521198636e-73
"s__Akkermansia_muciniphila","fixed",NA,"st131_detectyes",-0.0143659527606896,0.239926575416204,-0.059876454851943,235.702164583308,0.95230476853921,0.977365420342873
"s__Alistipes_communis","fixed",NA,"(Intercept)",-4.11150896032278,0.105679188707753,-38.9055689260901,120.184779259528,5.90606374471388e-70,1.31620849167909e-69
"s__Alistipes_communis","fixed",NA,"st131_detectyes",-0.00973345827425792,0.0874861849934558,-0.111257089047671,148.251194333396,0.91156296662249,0.951196139084337
"s__Alistipes_dispar","fixed",NA,"(Intercept)",-4.30846364292205,0.0998863768869265,-43.1336462208387,122.522889798825,6.28862091712825e-76,1.48359147534519e-75
"s__Alistipes_dispar","fixed",NA,"st131_detectyes",0.00703319438010882,0.102873170569186,0.0683676253117787,157.336394194326,0.945579801343404,0.971262215700879
"s__Alistipes_finegoldii","fixed",NA,"(Intercept)",-5.04389987497363,0.157404873985866,-32.0441149454275,120.908073223501,6.26123539377554e-61,1.34957198124903e-60
"s__Alistipes_finegoldii","fixed",NA,"st131_detectyes",-0.0307975711951759,0.200076884643038,-0.153928682216952,167.070284836143,0.877851745764913,0.934777285592672
"s__Alistipes_ihumii","fixed",NA,"(Intercept)",-4.41447435242964,0.0782073468402692,-56.4457756308467,123.7545796891,3.53589615764502e-90,9.65601401475051e-90
"s__Alistipes_ihumii","fixed",NA,"st131_detectyes",-0.0724492304704243,0.11551096983157,-0.627206494552547,182.273596973866,0.531308753661323,0.684286196665977
"s__Alistipes_indistinctus","fixed",NA,"(Intercept)",-4.88060824247167,0.103757063294201,-47.0388047571547,123.395526835033,1.1688148377649e-80,2.88276861172054e-80
"s__Alistipes_indistinctus","fixed",NA,"st131_detectyes",0.19102339989172,0.136169227442691,1.40283824384709,171.580715789877,0.162471969428333,0.28122748661104
"s__Alistipes_onderdonkii","fixed",NA,"(Intercept)",-4.05379286613978,0.158946765036565,-25.5040916699829,124.176603977274,3.36945448574838e-51,6.9505441292793e-51
"s__Alistipes_onderdonkii","fixed",NA,"st131_detectyes",-0.164995393730066,0.232714321062776,-0.709004039702211,181.727070736284,0.479230546994177,0.634907236020979
"s__Alistipes_provencensis","fixed",NA,"(Intercept)",-5.37454587635782,0.0446523376165557,-120.364266760473,125.302901622856,2.33098073000283e-131,1.73158568514496e-130
"s__Alistipes_provencensis","fixed",NA,"st131_detectyes",0.0483026343272547,0.0536065436439323,0.90105854703285,167.366933448283,0.368851965087328,0.532170234021949
"s__Alistipes_putredinis","fixed",NA,"(Intercept)",-3.90866673009014,0.181349242636038,-21.5532564309337,123.912833339049,9.66893841360225e-44,1.96528259611981e-43
"s__Alistipes_putredinis","fixed",NA,"st131_detectyes",0.141293048475518,0.230538993018412,0.612881346559166,169.755836316857,0.540775001533288,0.691549021100342
"s__Alistipes_senegalensis","fixed",NA,"(Intercept)",-5.3973042204227,0.0997412955024354,-54.1130350596951,114.978606689776,1.22491624004548e-83,3.17156736011775e-83
"s__Alistipes_senegalensis","fixed",NA,"st131_detectyes",-0.0303890440325589,0.127957073005076,-0.237494054207956,162.316323034674,0.812573034430751,0.891900744916075
"s__Alistipes_SGB2300","fixed",NA,"(Intercept)",-4.9774146600713,0.032258947067298,-154.295633074679,133.640164268799,1.90659308400125e-152,4.575823401603e-151
"s__Alistipes_SGB2300","fixed",NA,"st131_detectyes",0.0793217370390846,0.0542820104216862,1.46128959526147,204.720095652594,0.145469158547126,0.254265419981531
"s__Alistipes_SGB2302","fixed",NA,"(Intercept)",-6.03117149854724,0.0484712156689332,-124.427898399355,125.914922384703,1.16257887904682e-133,9.67265627366957e-133
"s__Alistipes_SGB2302","fixed",NA,"st131_detectyes",0.0592961830187699,0.0626476356746952,0.946503126257979,172.660929308015,0.345214769819581,0.506260908031536
"s__Alistipes_shahii","fixed",NA,"(Intercept)",-4.37983589770121,0.140626033917302,-31.1452707275871,120.477161621683,1.79446896627973e-59,3.83475559917313e-59
"s__Alistipes_shahii","fixed",NA,"st131_detectyes",-0.140159975743515,0.13335724937449,-1.05101129785544,152.375861748271,0.294917364321146,0.449947274661112
"s__Alistipes_sp_AF17_16","fixed",NA,"(Intercept)",-4.70754616084666,0.0504122670795239,-93.3809652603134,119.168389099139,2.68208916838944e-113,1.05259348495284e-112
"s__Alistipes_sp_AF17_16","fixed",NA,"st131_detectyes",0.0289069838839083,0.061053572594513,0.473469162499202,162.315719918426,0.63651466035982,0.769291403776046
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"(Intercept)",-4.29286179953325,0.0319326031225867,-134.435071987501,131.311900473283,1.64937229336643e-142,2.10042512461357e-141
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"st131_detectyes",0.027841709484998,0.036779987570933,0.756979850286875,170.437320060616,0.45010711083367,0.611244476953667
"s__Allisonella_histaminiformans","fixed",NA,"(Intercept)",-4.72742301636105,0.0795296667991555,-59.4422585511354,126.685020360815,2.13208158070008e-94,6.07497217514542e-94
"s__Allisonella_histaminiformans","fixed",NA,"st131_detectyes",-0.320434686111703,0.124057845049268,-2.58294577005144,190.523886973818,0.0105456459575998,0.0209569524762493
"s__Anaerobutyricum_hallii","fixed",NA,"(Intercept)",-4.69656817063396,0.112089484425649,-41.9001674840363,124.26919758514,3.66417288115371e-75,8.51561965675946e-75
"s__Anaerobutyricum_hallii","fixed",NA,"st131_detectyes",0.143783210765184,0.173679254676291,0.827866350723187,187.921401617456,0.408796295904221,0.573515028083728
"s__Anaerobutyricum_soehngenii","fixed",NA,"(Intercept)",-5.41851115897281,0.125516826500772,-43.1695997264518,117.786106335416,4.81771408421856e-74,1.10727572322371e-73
"s__Anaerobutyricum_soehngenii","fixed",NA,"st131_detectyes",0.0419695398769414,0.175838508816626,0.23868230093278,172.103404485717,0.81163591111822,0.891900744916075
"s__Anaerococcus_SGB53821","fixed",NA,"(Intercept)",-5.30220153422979,0.0477043600850612,-111.147105312292,126.126279083938,1.03876799078344e-127,6.64811514101399e-127
"s__Anaerococcus_SGB53821","fixed",NA,"st131_detectyes",0.0773239766861446,0.0833927076260177,0.927227078810189,205.588066998313,0.354895896520801,0.518023484044397
